Key,Additional_Info,Airline,Arrival_Time,Date_of_Journey,Dep_Time,Destination,Duration,Price,Route,Source,Total_Stops
4317,No info,Multiple carriers,18:50,03-03-2019,11:30,Cochin,7h 20m,15135,DEL ? BOM ? COK,Delhi,1 stop
3372,In-flight meal not included,Jet Airways,16-05-2023 08:15,15-05-2019,20:00,Banglore,12h 15m,8586,CCU ? BOM ? BLR,Kolkata,1 stop
1584,In-flight meal not included,Jet Airways,10-05-2023 10:05,09-05-2019,21:10,Banglore,12h 55m,9663,CCU ? BOM ? BLR,Kolkata,1 stop
7034,No info,IndiGo,12:00,09-03-2019,06:40,Cochin,5h 20m,5647,DEL ? HYD ? COK,Delhi,1 stop
9892,No info,Air India,07-03-2023 19:15,06-03-2019,16:40,Cochin,26h 35m,12646,DEL ? AMD ? BOM ? COK,Delhi,2 stops
9640,No info,IndiGo,21:55,24-06-2019,19:35,Kolkata,2h 20m,3597,MAA ? CCU,Chennai,non-stop
9067,No info,Air India,23:55,12-06-2019,21:05,Delhi,2h 50m,5228,BLR ? DEL,Banglore,non-stop
4830,No info,Jet Airways,20:20,01-03-2019,05:45,New Delhi,14h 35m,27992,BLR ? BOM ? DEL,Banglore,1 stop
2731,In-flight meal not included,Jet Airways,25-03-2023 04:45,24-03-2019,13:55,Banglore,14h 50m,10661,CCU ? BOM ? BLR,Kolkata,1 stop
10113,No info,Jet Airways,19-05-2023 04:25,18-05-2019,05:30,Cochin,22h 55m,15129,DEL ? JAI ? BOM ? COK,Delhi,2 stops
5056,No info,Air India,19:45,27-05-2019,17:00,Delhi,2h 45m,6961,BLR ? DEL,Banglore,non-stop
6428,No check-in baggage included,SpiceJet,16-04-2023 00:05,15-04-2019,21:10,Delhi,2h 55m,3919,BLR ? DEL,Banglore,non-stop
2713,No check-in baggage included,SpiceJet,12:20,27-04-2019,09:30,Delhi,2h 50m,4885,BLR ? DEL,Banglore,non-stop
769,No info,Vistara,07-06-2023 23:25,06-06-2019,20:20,Banglore,27h 5m,9345,CCU ? DEL ? BLR,Kolkata,1 stop
9973,No check-in baggage included,SpiceJet,16-05-2023 00:05,15-05-2019,21:10,Delhi,2h 55m,3573,BLR ? DEL,Banglore,non-stop
1863,No info,Air India,28-06-2023 09:25,27-06-2019,09:45,Cochin,23h 40m,10975,DEL ? HYD ? MAA ? COK,Delhi,2 stops
9495,In-flight meal not included,Multiple carriers,19:15,27-05-2019,09:00,Cochin,10h 15m,10197,DEL ? BOM ? COK,Delhi,1 stop
7863,No info,Jet Airways,22-05-2023 12:00,21-05-2019,20:00,Banglore,16h,14781,CCU ? BOM ? BLR,Kolkata,1 stop
2453,No info,Multiple carriers,19:15,15-06-2019,10:00,Cochin,9h 15m,16108,DEL ? BOM ? COK,Delhi,1 stop
2302,No info,Jet Airways,16:20,12-06-2019,06:30,Banglore,9h 50m,13626,CCU ? BOM ? BLR,Kolkata,1 stop
4120,No info,Air India,23:00,09-05-2019,09:45,Cochin,13h 15m,7174,DEL ? BLR ? COK,Delhi,1 stop
5801,No info,Air Asia,15:45,27-05-2019,07:55,Cochin,7h 50m,6451,DEL ? BLR ? COK,Delhi,1 stop
9979,No info,Jet Airways,07-06-2023 04:25,06-06-2019,14:35,Cochin,13h 50m,13376,DEL ? NAG ? BOM ? COK,Delhi,2 stops
7540,In-flight meal not included,Jet Airways,13-06-2023 16:20,12-06-2019,14:05,Banglore,26h 15m,8529,CCU ? BOM ? BLR,Kolkata,1 stop
3733,No info,Multiple carriers,19:00,06-06-2019,09:15,Cochin,9h 45m,11622,DEL ? BOM ? COK,Delhi,1 stop
1765,No info,IndiGo,13:00,12-04-2019,10:10,Delhi,2h 50m,4591,BLR ? DEL,Banglore,non-stop
7789,No info,Multiple carriers,19:15,06-03-2019,10:20,Cochin,8h 55m,15353,DEL ? BOM ? COK,Delhi,1 stop
9527,In-flight meal not included,Jet Airways,23:35,18-05-2019,16:30,Banglore,7h 5m,10844,CCU ? BOM ? BLR,Kolkata,1 stop
4822,In-flight meal not included,Jet Airways,16-06-2023 12:35,15-06-2019,20:55,Cochin,15h 40m,10262,DEL ? BOM ? COK,Delhi,1 stop
4650,No info,Air India,07-06-2023 19:15,06-06-2019,22:00,Cochin,21h 15m,10441,DEL ? GOI ? BOM ? COK,Delhi,2 stops
1580,No info,Vistara,19-05-2023 23:25,18-05-2019,20:20,Banglore,27h 5m,9345,CCU ? DEL ? BLR,Kolkata,1 stop
7018,In-flight meal not included,Jet Airways,28-03-2023 04:25,27-03-2019,19:10,Cochin,9h 15m,8456,DEL ? AMD ? BOM ? COK,Delhi,2 stops
7181,No info,Jet Airways,07-06-2023 04:25,06-06-2019,19:45,Cochin,8h 40m,14714,DEL ? BOM ? COK,Delhi,1 stop
7539,No info,Air India,16-05-2023 07:40,15-05-2019,10:55,Cochin,20h 45m,12803,DEL ? GOI ? BOM ? COK,Delhi,2 stops
2062,No info,IndiGo,21:00,09-06-2019,09:15,Cochin,11h 45m,6838,DEL ? BOM ? COK,Delhi,1 stop
4701,No check-in baggage included,SpiceJet,12:20,15-06-2019,09:30,Delhi,2h 50m,4885,BLR ? DEL,Banglore,non-stop
1199,No info,SpiceJet,18:30,06-06-2019,11:15,Banglore,7h 15m,10156,CCU ? IXB ? BLR,Kolkata,1 stop
3939,No info,Vistara,19:35,06-05-2019,17:00,Delhi,2h 35m,4878,BLR ? DEL,Banglore,non-stop
23,No info,IndiGo,06:50,03-04-2019,04:00,Delhi,2h 50m,3943,BLR ? DEL,Banglore,non-stop
7099,No check-in baggage included,SpiceJet,11:25,09-04-2019,09:00,Banglore,2h 25m,3841,CCU ? BLR,Kolkata,non-stop
5900,No check-in baggage included,SpiceJet,08:35,09-05-2019,05:55,Delhi,2h 40m,3573,BLR ? DEL,Banglore,non-stop
114,No info,Jet Airways,07-03-2023 04:25,06-03-2019,18:15,Cochin,10h 10m,17024,DEL ? BOM ? COK,Delhi,1 stop
1548,No info,SpiceJet,12:20,09-05-2019,09:30,Delhi,2h 50m,4991,BLR ? DEL,Banglore,non-stop
9589,No info,Jet Airways,13-06-2023 04:25,12-06-2019,09:35,Cochin,18h 50m,13292,DEL ? IDR ? BOM ? COK,Delhi,2 stops
6390,In-flight meal not included,Jet Airways,16-05-2023 10:05,15-05-2019,21:10,Banglore,12h 55m,11841,CCU ? BOM ? BLR,Kolkata,1 stop
3246,In-flight meal not included,Jet Airways,25-06-2023 04:25,24-06-2019,19:15,Cochin,9h 10m,10262,DEL ? BOM ? COK,Delhi,1 stop
2744,In-flight meal not included,Jet Airways,19:00,21-05-2019,07:05,Cochin,11h 55m,12239,DEL ? BOM ? COK,Delhi,1 stop
10383,No info,Jet Airways,25-05-2023 08:15,24-05-2019,21:10,Banglore,11h 5m,14178,CCU ? BOM ? BLR,Kolkata,1 stop
5679,No info,Multiple carriers,19:15,21-05-2019,09:00,Cochin,10h 15m,14848,DEL ? BOM ? COK,Delhi,1 stop
5582,No info,Air India,16:10,03-04-2019,13:20,Delhi,2h 50m,5176,BLR ? DEL,Banglore,non-stop
660,No info,Vistara,12:35,24-06-2019,09:45,Delhi,2h 50m,4668,BLR ? DEL,Banglore,non-stop
4975,In-flight meal not included,Jet Airways,14:15,03-04-2019,11:00,Cochin,3h 15m,4886,DEL ? COK,Delhi,non-stop
7340,No info,SpiceJet,11:20,03-06-2019,06:05,Cochin,5h 15m,5583,DEL ? MAA ? COK,Delhi,1 stop
6729,No info,IndiGo,08:50,15-06-2019,05:35,Cochin,3h 15m,5601,DEL ? COK,Delhi,non-stop
893,No info,Air India,10-03-2023 09:25,09-03-2019,17:20,Cochin,16h 5m,12415,DEL ? MAA ? COK,Delhi,1 stop
9339,No info,GoAir,13:35,27-06-2019,07:25,Cochin,6h 10m,4525,DEL ? AMD ? COK,Delhi,1 stop
4004,In-flight meal not included,Jet Airways,02-05-2023 08:15,01-05-2019,16:30,Banglore,15h 45m,8586,CCU ? BOM ? BLR,Kolkata,1 stop
6981,No info,Air India,13-03-2023 09:15,12-03-2019,09:15,Hyderabad,24h,8065,BOM ? BLR ? HYD,Mumbai,1 stop
3254,No info,Air India,12:45,24-03-2019,10:00,New Delhi,2h 45m,7276,BLR ? DEL,Banglore,non-stop
8992,No info,Jet Airways,10:10,06-06-2019,07:10,Delhi,3h,8016,BLR ? DEL,Banglore,non-stop
4877,No info,IndiGo,07:45,09-06-2019,02:00,Cochin,5h 45m,6386,DEL ? BLR ? COK,Delhi,1 stop
7071,No info,IndiGo,19:50,27-05-2019,17:15,Banglore,2h 35m,4804,CCU ? BLR,Kolkata,non-stop
10437,In-flight meal not included,Jet Airways,18:15,01-05-2019,08:25,Banglore,9h 50m,10844,CCU ? BOM ? BLR,Kolkata,1 stop
8969,No info,Multiple carriers,21:00,06-03-2019,08:00,Cochin,13h,15078,DEL ? BOM ? COK,Delhi,1 stop
8951,In-flight meal not included,Jet Airways,25-03-2023 18:10,24-03-2019,18:55,Banglore,23h 15m,11134,CCU ? BOM ? BLR,Kolkata,1 stop
7534,No info,IndiGo,19:55,18-05-2019,16:55,Delhi,3h,4823,BLR ? DEL,Banglore,non-stop
1193,No info,IndiGo,08:50,06-06-2019,05:35,Cochin,3h 15m,5601,DEL ? COK,Delhi,non-stop
53,No info,IndiGo,28-03-2023 01:10,24-03-2019,22:20,New Delhi,2h 50m,4377,BLR ? DEL,Banglore,non-stop
7937,No info,IndiGo,22:15,01-04-2019,17:35,Banglore,4h 40m,5699,CCU ? MAA ? BLR,Kolkata,1 stop
987,No info,Air India,13:55,21-06-2019,11:40,Kolkata,2h 15m,4667,MAA ? CCU,Chennai,non-stop
3305,No info,Air India,21:25,03-03-2019,10:30,New Delhi,10h 55m,11003,BLR ? VGA ? HYD ? DEL,Banglore,2 stops
2747,No info,Multiple carriers,19-05-2023 01:30,18-05-2019,15:05,Cochin,10h 25m,16840,DEL ? IDR ? BOM ? COK,Delhi,2 stops
8401,No info,SpiceJet,22:50,09-05-2019,17:55,Cochin,4h 55m,5975,DEL ? BLR ? COK,Delhi,1 stop
10324,No info,Vistara,14:20,06-05-2019,11:30,Delhi,2h 50m,4668,BLR ? DEL,Banglore,non-stop
9521,No info,Vistara,25-03-2023 09:10,24-03-2019,09:55,Banglore,23h 15m,10842,CCU ? DEL ? BLR,Kolkata,1 stop
8946,In-flight meal not included,Jet Airways,19:50,24-05-2019,14:05,Banglore,5h 45m,10844,CCU ? BOM ? BLR,Kolkata,1 stop
