Key,Additional_Info,Airline,Arrival_Time,Date_of_Journey,Dep_Time,Destination,Duration,Price,Route,Source,Total_Stops
9865,No check-in baggage included,SpiceJet,12:00,12-05-2019,09:45,Kolkata,2h 15m,3543,MAA ? CCU,Chennai,non-stop
1915,No info,Jet Airways,19:50,21-05-2019,08:25,Banglore,11h 25m,14781,CCU ? BOM ? BLR,Kolkata,1 stop
7255,No info,Jet Airways,19:00,21-05-2019,11:30,Cochin,7h 30m,16079,DEL ? BOM ? COK,Delhi,1 stop
7774,No info,IndiGo,13:00,21-04-2019,10:10,Delhi,2h 50m,4591,BLR ? DEL,Banglore,non-stop
1097,No info,Vistara,25-05-2023 10:45,24-05-2019,20:20,Banglore,14h 25m,9187,CCU ? DEL ? BLR,Kolkata,1 stop
2771,No info,Jet Airways,22:35,15-05-2019,16:30,Banglore,6h 5m,14781,CCU ? BOM ? BLR,Kolkata,1 stop
6337,1 Long layover,SpiceJet,23:40,01-03-2019,15:35,New Delhi,8h 5m,7744,BLR ? HYD ? DEL,Banglore,1 stop
5419,No info,Air India,17:45,18-03-2019,10:30,New Delhi,7h 15m,13261,BLR ? VGA ? VTZ ? DEL,Banglore,2 stops
8525,No info,Jet Airways,10-06-2023 16:20,09-06-2019,18:55,Banglore,21h 25m,14571,CCU ? BOM ? BLR,Kolkata,1 stop
9788,No info,Jet Airways,02-04-2023 04:40,01-04-2019,16:30,Banglore,12h 10m,12681,CCU ? BOM ? BLR,Kolkata,1 stop
3798,No info,IndiGo,14:15,09-06-2019,09:20,Banglore,4h 55m,11465,CCU ? PAT ? BLR,Kolkata,1 stop
3125,In-flight meal not included,Jet Airways,25-06-2023 12:35,24-06-2019,11:30,Cochin,25h 5m,10262,DEL ? BOM ? COK,Delhi,1 stop
10366,No info,Vistara,12:35,06-04-2019,09:45,Delhi,2h 50m,5613,BLR ? DEL,Banglore,non-stop
6051,No info,Jet Airways,11:20,12-04-2019,08:20,Delhi,3h,7229,BLR ? DEL,Banglore,non-stop
3932,No info,IndiGo,15:35,01-03-2019,13:20,Kolkata,2h 15m,7295,MAA ? CCU,Chennai,non-stop
3844,In-flight meal not included,Jet Airways,28-03-2023 04:25,27-03-2019,06:20,Cochin,22h 5m,9296,DEL ? IXC ? BOM ? COK,Delhi,2 stops
8141,No info,Air Asia,12:15,18-06-2019,09:45,Banglore,2h 30m,3807,CCU ? BLR,Kolkata,non-stop
4579,No info,Jet Airways,07-03-2023 16:50,06-03-2019,17:00,Hyderabad,23h 50m,19595,BOM ? DEL ? HYD,Mumbai,1 stop
6021,No info,Multiple carriers,21:00,18-05-2019,09:00,Cochin,12h,8073,DEL ? BOM ? COK,Delhi,1 stop
4685,No info,Jet Airways,12:35,01-06-2019,02:15,Cochin,10h 20m,14714,DEL ? BOM ? COK,Delhi,1 stop
9700,No info,SpiceJet,20:20,09-05-2019,15:05,Banglore,5h 15m,4963,CCU ? MAA ? BLR,Kolkata,1 stop
10276,No info,IndiGo,11:30,03-03-2019,08:30,New Delhi,3h,6860,BLR ? DEL,Banglore,non-stop
3666,No info,Multiple carriers,02-06-2023 01:30,01-06-2019,13:00,Cochin,12h 30m,13377,DEL ? BOM ? COK,Delhi,1 stop
3710,No info,GoAir,02-05-2023 00:15,01-05-2019,16:40,Banglore,7h 35m,6484,CCU ? AMD ? BLR,Kolkata,1 stop
8317,No info,Multiple carriers,16-06-2023 01:30,15-06-2019,13:00,Cochin,12h 30m,7198,DEL ? BOM ? COK,Delhi,1 stop
7570,No info,Jet Airways,20:45,03-05-2019,17:45,Delhi,3h,7229,BLR ? DEL,Banglore,non-stop
7326,No info,IndiGo,21:50,18-06-2019,18:55,Delhi,2h 55m,4823,BLR ? DEL,Banglore,non-stop
6334,No info,IndiGo,12:30,27-06-2019,07:15,Cochin,5h 15m,6582,DEL ? MAA ? COK,Delhi,1 stop
1837,No info,IndiGo,21:55,03-03-2019,19:35,Kolkata,2h 20m,7295,MAA ? CCU,Chennai,non-stop
8330,No info,IndiGo,18:05,09-06-2019,15:30,Banglore,2h 35m,5224,CCU ? BLR,Kolkata,non-stop
4784,In-flight meal not included,Jet Airways,07-05-2023 10:05,06-05-2019,18:55,Banglore,15h 10m,7757,CCU ? BOM ? BLR,Kolkata,1 stop
3434,No info,IndiGo,15:50,03-04-2019,13:00,Delhi,2h 50m,4077,BLR ? DEL,Banglore,non-stop
9677,No info,IndiGo,20:35,09-03-2019,15:40,New Delhi,4h 55m,5226,BLR ? HYD ? DEL,Banglore,1 stop
4133,No info,Jet Airways,26-06-2023 04:25,24-06-2019,23:05,Cochin,29h 20m,12819,DEL ? AMD ? BOM ? COK,Delhi,2 stops
9389,No info,Air India,04-03-2023 09:25,03-03-2019,12:30,Cochin,20h 55m,16142,DEL ? MAA ? COK,Delhi,1 stop
513,In-flight meal not included,Jet Airways,16:10,21-03-2019,08:55,New Delhi,7h 15m,7832,BLR ? BOM ? DEL,Banglore,1 stop
4203,No info,Jet Airways,11:50,15-06-2019,10:20,Hyderabad,1h 30m,5678,BOM ? HYD,Mumbai,non-stop
10300,No info,IndiGo,16:55,12-06-2019,14:25,Banglore,2h 30m,4804,CCU ? BLR,Kolkata,non-stop
3297,No info,IndiGo,19:50,15-06-2019,17:15,Banglore,2h 35m,4804,CCU ? BLR,Kolkata,non-stop
2418,No info,IndiGo,15:50,03-06-2019,13:00,Delhi,2h 50m,3943,BLR ? DEL,Banglore,non-stop
471,No info,Jet Airways,23-03-2023 04:25,21-03-2019,18:20,Cochin,34h 5m,13082,DEL ? UDR ? BOM ? COK,Delhi,2 stops
1063,No info,IndiGo,21:00,21-05-2019,09:15,Cochin,11h 45m,7318,DEL ? BOM ? COK,Delhi,1 stop
9160,No info,IndiGo,03:10,24-06-2019,01:40,Hyderabad,1h 30m,2754,BOM ? HYD,Mumbai,non-stop
6200,No info,Air India,28-03-2023 07:40,27-03-2019,05:55,Cochin,25h 45m,8971,DEL ? NAG ? BOM ? COK,Delhi,2 stops
6967,No info,IndiGo,12:20,09-06-2019,09:35,Banglore,2h 45m,4804,CCU ? BLR,Kolkata,non-stop
7428,No info,IndiGo,10:10,09-03-2019,05:35,Cochin,4h 35m,9476,DEL ? LKO ? COK,Delhi,1 stop
6725,In-flight meal not included,Jet Airways,21:05,01-06-2019,19:35,Hyderabad,1h 30m,3210,BOM ? HYD,Mumbai,non-stop
1468,No info,Multiple carriers,19:00,03-06-2019,10:00,Cochin,9h,14502,DEL ? BOM ? COK,Delhi,1 stop
7596,In-flight meal not included,Jet Airways,19:00,18-05-2019,11:40,Cochin,7h 20m,19644,DEL ? JDH ? BOM ? COK,Delhi,2 stops
9276,No info,Air Asia,23:30,09-05-2019,19:55,Banglore,3h 35m,5162,CCU ? BBI ? BLR,Kolkata,1 stop
6517,No info,Jet Airways,07-05-2023 10:05,06-05-2019,21:10,Banglore,12h 55m,13584,CCU ? BOM ? BLR,Kolkata,1 stop
461,No info,Multiple carriers,19:15,03-06-2019,07:30,Cochin,11h 45m,9736,DEL ? BOM ? COK,Delhi,1 stop
3090,In-flight meal not included,Jet Airways,07-06-2023 04:25,06-06-2019,09:25,Cochin,19h,11992,DEL ? LKO ? BOM ? COK,Delhi,2 stops
731,No info,Multiple carriers,21:00,21-05-2019,12:50,Cochin,8h 10m,7485,DEL ? BOM ? COK,Delhi,1 stop
5373,Business class,Jet Airways Business,12:25,01-03-2019,05:45,New Delhi,6h 40m,62427,BLR ? BOM ? DEL,Banglore,1 stop
248,No info,IndiGo,21:00,15-05-2019,10:35,Cochin,10h 25m,6979,DEL ? BOM ? COK,Delhi,1 stop
2048,No info,Multiple carriers,21:00,09-06-2019,10:00,Cochin,11h,7408,DEL ? BOM ? COK,Delhi,1 stop
5777,No info,Air India,25-06-2023 19:15,24-06-2019,20:15,Cochin,23h,13381,DEL ? CCU ? BOM ? COK,Delhi,2 stops
10486,No info,SpiceJet,28-03-2023 00:40,27-03-2019,22:20,Banglore,2h 20m,3847,CCU ? BLR,Kolkata,non-stop
10230,No info,Air Asia,22:05,03-03-2019,19:35,Banglore,2h 30m,5964,CCU ? BLR,Kolkata,non-stop
7352,No info,Jet Airways Business,04-03-2023 04:25,03-03-2019,20:05,Cochin,8h 20m,46490,DEL ? ATQ ? BOM ? COK,Delhi,2 stops
3411,No info,Jet Airways,02-05-2023 10:55,01-05-2019,20:25,Banglore,14h 30m,12121,CCU ? DEL ? BLR,Kolkata,1 stop
3029,No info,IndiGo,13:00,24-06-2019,10:10,Delhi,2h 50m,3943,BLR ? DEL,Banglore,non-stop
5683,No info,Air India,28-03-2023 19:15,27-03-2019,16:40,Cochin,26h 35m,8656,DEL ? AMD ? BOM ? COK,Delhi,2 stops
8187,No info,Multiple carriers,21:00,27-03-2019,10:20,Cochin,10h 40m,6637,DEL ? BOM ? COK,Delhi,1 stop
8698,No info,Jet Airways,19:00,27-06-2019,05:30,Cochin,13h 30m,13014,DEL ? JAI ? BOM ? COK,Delhi,2 stops
1971,No info,Jet Airways,23:25,24-03-2019,13:55,Banglore,9h 30m,14231,CCU ? BOM ? BLR,Kolkata,1 stop
507,In-flight meal not included,Jet Airways,19:45,09-03-2019,06:50,Cochin,12h 55m,14053,DEL ? BOM ? COK,Delhi,1 stop
3271,No info,Jet Airways,13-06-2023 04:25,12-06-2019,21:50,Cochin,6h 35m,14714,DEL ? BOM ? COK,Delhi,1 stop
1668,No info,Jet Airways,10-06-2023 04:25,09-06-2019,14:35,Cochin,13h 50m,13376,DEL ? NAG ? BOM ? COK,Delhi,2 stops
6844,No info,Air India,17:10,15-03-2019,14:10,Cochin,3h,5674,DEL ? COK,Delhi,non-stop
4590,In-flight meal not included,Jet Airways,14:05,15-04-2019,11:10,Delhi,2h 55m,4544,BLR ? DEL,Banglore,non-stop
10657,No info,Vistara,09:40,06-04-2019,07:00,Delhi,2h 40m,5613,BLR ? DEL,Banglore,non-stop
7499,No info,Jet Airways,07-05-2023 23:35,06-05-2019,20:25,Banglore,27h 10m,10953,CCU ? DEL ? BLR,Kolkata,1 stop
1616,No info,IndiGo,12:10,01-06-2019,07:35,Cochin,4h 35m,5054,DEL ? HYD ? COK,Delhi,1 stop
7368,No check-in baggage included,SpiceJet,12:00,09-05-2019,09:45,Kolkata,2h 15m,3543,MAA ? CCU,Chennai,non-stop
8286,No info,Jet Airways,07-06-2023 04:25,06-06-2019,14:00,Cochin,14h 25m,14714,DEL ? BOM ? COK,Delhi,1 stop
10609,In-flight meal not included,Jet Airways,13-05-2023 04:40,12-05-2019,06:30,Banglore,22h 10m,8586,CCU ? BOM ? BLR,Kolkata,1 stop
414,No info,Jet Airways,22-03-2023 04:25,21-03-2019,22:50,Cochin,5h 35m,12242,DEL ? BOM ? COK,Delhi,1 stop
8515,No info,IndiGo,15:35,01-05-2019,13:15,Kolkata,2h 20m,3597,MAA ? CCU,Chennai,non-stop
10603,No info,Air India,19-05-2023 07:40,18-05-2019,05:00,Cochin,26h 40m,11228,DEL ? AMD ? BOM ? COK,Delhi,2 stops
4379,No info,Vistara,09:10,09-03-2019,06:00,Cochin,3h 10m,7266,DEL ? COK,Delhi,non-stop
2763,No info,Jet Airways,02-04-2023 10:55,01-04-2019,09:35,Banglore,25h 20m,11467,CCU ? DEL ? BLR,Kolkata,1 stop
2426,No info,Vistara,23:50,27-05-2019,21:00,Delhi,2h 50m,4668,BLR ? DEL,Banglore,non-stop
2757,No info,Air India,19:15,01-06-2019,10:00,Cochin,9h 15m,9929,DEL ? BOM ? COK,Delhi,1 stop
3298,No info,Air India,02-06-2023 19:15,01-06-2019,14:25,Cochin,28h 50m,13591,DEL ? CCU ? BOM ? COK,Delhi,2 stops
7376,No info,IndiGo,20:30,06-04-2019,15:15,Banglore,5h 15m,4268,CCU ? HYD ? BLR,Kolkata,1 stop
8052,No info,Air India,13-03-2023 09:10,12-03-2019,19:40,Hyderabad,13h 30m,11647,BOM ? BHO ? DEL ? HYD,Mumbai,2 stops
10070,In-flight meal not included,Jet Airways,25-06-2023 12:35,24-06-2019,16:00,Cochin,20h 35m,10262,DEL ? BOM ? COK,Delhi,1 stop
6747,No info,IndiGo,07-06-2023 01:30,06-06-2019,18:35,Cochin,6h 55m,6628,DEL ? BOM ? COK,Delhi,1 stop
596,No info,IndiGo,21:55,21-05-2019,19:35,Kolkata,2h 20m,3597,MAA ? CCU,Chennai,non-stop
5785,No info,IndiGo,08:50,15-03-2019,05:35,Cochin,3h 15m,5406,DEL ? COK,Delhi,non-stop
