iter	RMSE
0	4278.343314
1	4015.784801
2	3790.009904
3	3574.815513
4	3389.158998
5	3233.53526
6	3096.356176
7	2966.98825
8	2854.986447
9	2759.173639
10	2686.387072
11	2602.885013
12	2531.323601
13	2469.171694
14	2417.727971
15	2359.137911
16	2319.46943
17	2281.207551
18	2248.71787
19	2214.966605
20	2187.227806
21	2163.463302
22	2142.947884
23	2124.095088
24	2103.651628
25	2080.537977
26	2057.055058
27	2041.268314
28	2025.187741
29	2007.146666
30	1993.329083
31	1978.992255
32	1967.775088
33	1953.667135
34	1946.371209
35	1927.660103
36	1904.257689
37	1887.31188
38	1877.420286
39	1863.436652
40	1845.881407
41	1834.591986
42	1825.71862
43	1816.921827
44	1808.392525
45	1802.57633
46	1795.574794
47	1787.325164
48	1783.878114
49	1774.419747
50	1765.508693
51	1756.993513
52	1752.811675
53	1742.697472
54	1734.299573
55	1728.497213
56	1721.661139
57	1715.423857
58	1708.146154
59	1693.675256
60	1687.429991
61	1681.904641
62	1673.980689
63	1659.451528
64	1656.297263
65	1651.599305
66	1648.113932
67	1639.834395
68	1633.679595
69	1629.725737
70	1623.879274
71	1613.298484
72	1608.748391
73	1605.450326
74	1601.56456
75	1594.906656
76	1589.114494
77	1584.991873
78	1579.083945
79	1570.980635
80	1566.42656
81	1561.90001
82	1558.325518
83	1552.783966
84	1549.604004
85	1545.099146
86	1541.232049
87	1538.225989
88	1531.947326
89	1525.281985
90	1521.711505
91	1519.0145
92	1513.092719
93	1507.394765
94	1503.224449
95	1500.030385
96	1497.205888
97	1493.56285
98	1489.205107
99	1484.834016
