iter	Passed	Remaining
0	3	394
1	7	379
2	11	365
3	14	353
4	17	332
5	21	331
6	24	329
7	28	325
8	31	319
9	35	317
10	37	300
11	40	297
12	44	296
13	47	293
14	51	293
15	55	290
16	58	287
17	62	285
18	66	281
19	69	278
20	73	275
21	76	272
22	80	268
23	83	265
24	87	261
25	90	257
26	93	254
27	97	250
28	100	246
29	104	243
30	107	240
31	111	235
32	114	232
33	118	229
34	121	225
35	125	222
36	128	218
37	131	214
38	134	210
39	137	206
40	141	203
41	144	199
42	147	196
43	151	192
44	154	188
45	157	185
46	161	181
47	164	178
48	167	174
49	171	171
50	174	167
51	177	163
52	180	160
53	183	156
54	187	153
55	190	149
56	193	146
57	197	142
58	200	139
59	203	135
60	206	132
61	210	128
62	213	125
63	216	121
64	219	118
65	222	114
66	226	111
67	229	107
68	232	104
69	235	100
70	238	97
71	241	94
72	245	90
73	248	87
74	251	83
75	255	80
76	258	77
77	261	73
78	264	70
79	267	66
80	271	63
81	274	60
82	277	56
83	280	53
84	284	50
85	287	46
86	290	43
87	294	40
88	302	37
89	310	34
90	315	31
91	321	27
92	327	24
93	332	21
94	336	17
95	340	14
96	344	10
97	348	7
98	352	3
99	357	0
