iter	Passed	Remaining
0	4	4295
1	6	3390
2	10	3488
3	12	3044
4	13	2757
5	15	2630
6	17	2550
7	19	2451
8	21	2389
9	23	2334
10	25	2302
11	27	2282
12	29	2244
13	31	2200
14	32	2159
15	34	2122
16	36	2092
17	37	2064
18	39	2043
19	41	2024
20	43	2018
21	45	2015
22	47	2010
23	49	2018
24	51	2011
25	53	2006
26	55	1997
27	57	1981
28	58	1970
29	60	1965
30	62	1957
31	64	1940
32	65	1924
33	67	1911
34	68	1902
35	70	1889
36	72	1877
37	73	1869
38	75	1859
39	77	1850
40	78	1839
41	80	1836
42	82	1831
43	84	1826
44	85	1819
45	87	1817
46	89	1814
47	91	1806
48	92	1795
49	94	1791
50	95	1784
51	97	1777
52	99	1771
53	101	1770
54	102	1764
55	104	1756
56	105	1749
57	107	1749
58	109	1743
59	110	1735
60	112	1729
61	114	1726
62	115	1720
63	117	1714
64	118	1709
65	120	1705
66	122	1701
67	123	1696
68	125	1690
69	127	1689
70	128	1686
71	130	1680
72	131	1675
73	133	1673
74	135	1666
75	136	1661
76	138	1656
77	139	1652
78	141	1650
79	143	1647
80	144	1644
81	146	1640
82	148	1637
83	149	1632
84	151	1627
85	152	1624
86	154	1622
87	156	1617
88	157	1614
89	159	1612
90	161	1612
91	163	1611
92	165	1613
93	167	1615
94	169	1612
95	170	1607
96	172	1605
97	174	1602
98	175	1599
99	177	1595
100	178	1591
101	180	1591
102	182	1586
103	183	1583
104	185	1578
105	186	1576
106	188	1572
107	190	1570
108	191	1566
109	193	1567
110	195	1562
111	196	1558
112	198	1555
113	200	1555
114	201	1552
115	203	1549
116	204	1545
117	206	1544
118	208	1541
119	209	1538
120	211	1536
121	213	1536
122	215	1533
123	216	1531
124	218	1529
125	220	1528
126	221	1524
127	223	1522
128	225	1520
129	226	1519
130	228	1515
131	229	1512
132	231	1508
133	233	1508
134	234	1505
135	236	1502
136	237	1499
137	239	1498
138	241	1495
139	243	1493
140	244	1491
141	246	1491
142	248	1489
143	250	1486
144	251	1484
145	253	1482
146	255	1480
147	256	1477
148	258	1474
149	259	1473
150	261	1470
151	263	1468
152	264	1465
153	266	1465
154	268	1462
155	269	1459
156	271	1456
157	272	1454
158	274	1451
159	275	1448
160	277	1446
161	279	1444
162	280	1441
163	282	1439
164	283	1436
165	285	1434
166	287	1432
167	288	1429
168	290	1427
169	291	1425
170	293	1423
171	295	1420
172	296	1417
173	298	1415
174	299	1414
175	301	1411
176	303	1409
177	304	1406
178	306	1405
179	307	1402
180	309	1400
181	311	1397
182	312	1396
183	314	1393
184	315	1390
185	317	1388
186	319	1387
187	321	1386
188	322	1384
189	324	1382
190	326	1381
191	327	1378
192	329	1376
193	330	1373
194	332	1372
195	334	1370
196	335	1368
197	337	1366
198	339	1365
199	340	1363
200	342	1360
201	343	1358
202	345	1357
203	347	1354
204	348	1351
205	350	1349
206	351	1348
207	353	1345
